Balance 11-2021
Id movimiento;Fecha;Debe;Haber;Descripción
5;20/11/21;;1030000,000000;Gasto: 123 -- 321
4;20/11/21;;122200,000000;Gasto: 123 -- 321
3;20/11/21;;120000,000000;Gasto: 123 -- 321
2;20/11/21;;165011,250000;Gasto: 123 -- 321
1;20/11/21;;2400000,000000;Gasto: 123 -- 321
9;21/11/21;;200,000000;Gasto: 2 -- F-35
8;21/11/21;;2400000,000000;Gasto: 2 -- F-35
7;21/11/21;;101000,000000;Gasto: 1 -- F-22
6;21/11/21;;100000,000000;Gasto: 1 -- F-22
11;24/11/21;;1440000,000000;Gasto: 132 -- F-14
10;24/11/21;;14400,000000;Gasto: Pepas
8;24/11/21;3000,000000;;Productos vendidos: 2
7;24/11/21;4500,000000;;Productos vendidos: 2
6;24/11/21;7500,000000;;Productos vendidos: 2
5;24/11/21;379000,000000;;Productos vendidos: 132 123
4;24/11/21;379000,000000;;Productos vendidos: 132 123
3;24/11/21;15000,000000;;Productos vendidos: 2
2;24/11/21;1230000,000000;;Productos vendidos: 2
1;24/11/21;46500,000000;;Productos vendidos: 1 2
13;25/11/21;;240,000000;Gasto: Paquete de criollitas
12;25/11/21;;120000,000000;Gasto: 123 -- 321
